date,Facebook share price,Imaginary Inc share price
01/08/2017,169.86,84.93
02/08/2017,169.3,84.65
03/08/2017,168.59,84.295
04/08/2017,169.62,84.81
07/08/2017,171.98,85.99
08/08/2017,171.23,85.615
09/08/2017,171.18,85.59
10/08/2017,167.4,83.7
11/08/2017,168.08,84.04
14/08/2017,170.75,85.375
15/08/2017,171,85.5
16/08/2017,170,85
17/08/2017,166.91,83.455
18/08/2017,167.41,83.705
21/08/2017,167.78,83.89
22/08/2017,169.64,84.82
23/08/2017,168.71,84.355
24/08/2017,167.74,83.87
25/08/2017,166.32,83.16
28/08/2017,167.24,83.62
29/08/2017,168.05,84.025
30/08/2017,169.92,84.96
31/08/2017,171.97,85.985
01/09/2017,172.02,86.01
04/09/2017,172.02,86.01
05/09/2017,170.72,85.36
06/09/2017,172.09,86.045
07/09/2017,173.21,86.605
08/09/2017,170.95,85.475
11/09/2017,173.51,86.755
12/09/2017,172.96,86.48
13/09/2017,173.05,86.525
14/09/2017,170.96,85.48
15/09/2017,171.64,85.82
18/09/2017,170.01,85.005
19/09/2017,172.52,86.26
20/09/2017,172.17,86.085
21/09/2017,171.11,85.555
22/09/2017,170.54,85.27
25/09/2017,162.87,81.435
26/09/2017,164.21,82.105
27/09/2017,167.68,83.84
28/09/2017,168.73,84.365
29/09/2017,170.87,85.435
02/10/2017,169.47,84.735
03/10/2017,169.96,84.98
04/10/2017,168.42,84.21
05/10/2017,171.24,85.62
06/10/2017,172.23,86.115
09/10/2017,172.5,86.25
10/10/2017,171.59,85.795
11/10/2017,172.74,86.37
12/10/2017,172.55,86.275
13/10/2017,173.74,86.87
16/10/2017,174.52,87.26
17/10/2017,176.11,88.055
18/10/2017,176.03,88.015
19/10/2017,174.56,87.28
20/10/2017,174.98,87.49
23/10/2017,171.27,85.635
24/10/2017,171.8,85.9
25/10/2017,170.6,85.3
26/10/2017,170.63,85.315
27/10/2017,177.88,88.94
30/10/2017,179.87,89.935
31/10/2017,180.06,90.03
01/11/2017,182.66,91.33
02/11/2017,182.66,91.33
