name,medianPayDiff,section,clean_name,highlight
Dorset & Wiltshire Fire & Rescue Service,11.9,Public Sector,Dorset & Wiltshire Fire & Rescue Service,
Dorset County Council,-6.5,Public Sector,Dorset County Council,
Dorset County Council,-6.5,Public administration and defence; compulsory social security,Dorset County Council,
Dover District Council,8.7,Public Sector,Dover District Council,
Dover District Council,8.7,Public administration and defence; compulsory social security,Dover District Council,
Downe House School,27.4,Education,Downe House School,
DRIL-QUIP (EUROPE) LIMITED,16.5,Manufacturing,Dril-quip (europe),
DRUCK LIMITED,37.3,Manufacturing,Druck,
DTR VMS LIMITED,0,Manufacturing,Dtr Vms,
Ducas Ltd,-81.3,Administrative and support service activities,Ducas,
Dundee University Students Association,0,Other service activities,Dundee University Students Association,
DUNNHUMBY LIMITED,19.9,"Professional, scientific and technical activities",Dunnhumby,
DUNSTER HOUSE LIMITED,6,Manufacturing,Dunster House,
DUNSTER HOUSE LIMITED,6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Dunster House,
Durham Constabulary,27,Public Sector,Durham Constabulary,
Durham Constabulary,27,Public administration and defence; compulsory social security,Durham Constabulary,
DWR CYMRU CYFYNGEDIG,7.5,"Water supply, sewerage, waste management and remediation activities",Dwr Cymru Cyfyngedig,
DYNEX SEMICONDUCTOR LIMITED,41,Manufacturing,Dynex Semiconductor,
E-PPL HOLDINGS LIMITED,-14,Financial and insurance activities,E-ppl Holdings,
E. C. M. (VEHICLE DELIVERY SERVICE) LIMITED,32.9,Transportation and storage,E. C. M. (vehicle Delivery Service),
E.G.L. HOMECARE LIMITED,3.9,Manufacturing,E.g.l. Homecare,
E.ON ENERGY SOLUTIONS LIMITED,17.9,"Electricity, gas, steam and air conditioning supply",E.on Energy Solutions,
E.ON ENERGY SOLUTIONS LIMITED,17.9,Financial and insurance activities,E.on Energy Solutions,
E.ON IT UK LIMITED,8.5,Information and communication,E.on It Uk,
E.On UK PLC,11.6,"Electricity, gas, steam and air conditioning supply",E.on Uk,
E.On UK PLC,11.6,Financial and insurance activities,E.on Uk,
E.W. BEARD LIMITED,43.7,Construction,E.w. Beard,
East Cheshire Nhs Trust,15.7,Public Sector,East Cheshire Nhs Trust,
East Cheshire Nhs Trust,15.7,Human health and social work activities,East Cheshire Nhs Trust,
East Devon District Council,3.2,Public Sector,East Devon District Council,
East Devon District Council,3.2,Public administration and defence; compulsory social security,East Devon District Council,
East Durham College,-0.3,Public Sector,East Durham College,
East Hertfordshire Council,17,Public Sector,East Hertfordshire Council,
East Hertfordshire Council,17,Public administration and defence; compulsory social security,East Hertfordshire Council,
EAST KENT COLLEGE LIMITED,27.2,Education,East Kent College,
EAST MIDLANDS CONFERENCE CENTRE LIMITED,5,Accommodation and food service activities,East Midlands Conference Centre,
East Midlands Crossroads-Caring For Carers,1.8,Human health and social work activities,East Midlands Crossroads-caring For Carers,
EAST MIDLANDS INTERNATIONAL AIRPORT LIMITED,1.3,Transportation and storage,East Midlands International Airport,
East Riding College,16,Public Sector,East Riding College,
East Riding College,16,Education,East Riding College,
East Staffordshire Borough Council,-6.9,Public Sector,East Staffordshire Borough Council,
East Staffordshire Borough Council,-6.9,Public administration and defence; compulsory social security,East Staffordshire Borough Council,
East Sussex Council,7.2,Public Sector,East Sussex Council,
East Sussex Council,7.2,Public administration and defence; compulsory social security,East Sussex Council,
East Sussex Fire and Rescue Service,2.4,Public Sector,East Sussex Fire And Rescue Service,
EASTERN AIRWAYS (UK) LIMITED,50.7,Transportation and storage,Eastern Airways,
Eastern Multi-Academy Trust,42.5,Public Sector,Eastern Multi-academy Trust,
Eastern Multi-Academy Trust,42.5,Education,Eastern Multi-academy Trust,
Eastgate Care Group Ltd,-27.5,"Professional, scientific and technical activities",Eastgate Care Group,
Eastleigh College,25.7,Public Sector,Eastleigh College,
Eastleigh College,25.7,Education,Eastleigh College,
Easyjet Airline Co. Ltd.,45.5,Transportation and storage,Easyjet Airline Co.,
Ebor Academy Trust,20.1,Public Sector,Ebor Academy Trust,
Ebor Academy Trust,20.1,Education,Ebor Academy Trust,
Ecclesiastical Insurance Office PLC,25,Financial and insurance activities,Ecclesiastical Insurance Office,
EDEN (GM) LIMITED,15.6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Eden (gm),
EDEN OUTSOURCE LIMITED,0,Administrative and support service activities,Eden Outsource,
EDEN PROJECT LIMITED,4.7,Education,Eden Project,
EDEN PROJECT LIMITED,4.7,"Arts, entertainment and recreation",Eden Project,
EDF ENERGY (ENERGY BRANCH) LIMITED,14,"Electricity, gas, steam and air conditioning supply",Edf Energy (energy Branch),
EDF ENERGY (ENERGY BRANCH) LIMITED,14,"Professional, scientific and technical activities",Edf Energy (energy Branch),
EDF ENERGY CUSTOMERS LIMITED,-2.2,"Electricity, gas, steam and air conditioning supply",Edf Energy Customers,
EDF ENERGY NUCLEAR GENERATION LIMITED,18.8,"Electricity, gas, steam and air conditioning supply",Edf Energy Nuclear Generation,
Edf Energy PLC,31.5,"Electricity, gas, steam and air conditioning supply",Edf Energy,
EDGE RESTAURANTS (NW) LIMITED,16,Accommodation and food service activities,Edge Restaurants (nw),
EDINBURGH LEISURE,-0.9,"Arts, entertainment and recreation",Edinburgh Leisure,
EDRINGTON DISTILLERS LIMITED,13.3,Manufacturing,Edrington Distillers,
EDWARDS & WARD LIMITED,13.8,Accommodation and food service activities,Edwards & Ward,
EE LIMITED,11.9,Information and communication,Ee,
EEF LIMITED,18.4,Other service activities,Eef,
ELECTRICITY NORTH WEST LIMITED,16.3,"Electricity, gas, steam and air conditioning supply",Electricity North West,
ELECTRIUM SALES LIMITED,35.6,Manufacturing,Electrium Sales,
ELECTROCOMPONENTS PUBLIC LIMITED COMPANY,23,"Professional, scientific and technical activities",Electrocomponents Public  Company,
ELEKTA LIMITED,10.3,Manufacturing,Elekta,
ELEVATE PORTFOLIO SERVICES LIMITED,25,Financial and insurance activities,Elevate Portfolio Services,
Elizabeth Finn Care,8.8,Human health and social work activities,Elizabeth Finn Care,
ELIZABETH FINN HOMES LIMITED,6.8,Human health and social work activities,Elizabeth Finn Homes,
Elmbridge Borough Council,0,Public Sector,Elmbridge Borough Council,
EMH CARE AND SUPPORT LIMITED,0,Human health and social work activities,Emh Care And Support,
EMMANUEL COLLEGE CAMBRIDGE,10,Education,Emmanuel College Cambridge,
EMPORIA LEISURE LIMITED,0,Real estate activities,Emporia Leisure,
ENDEMOL SHINE GROUP LIMITED,-4,Information and communication,Endemol Shine Group,
"ENERGY, SAFETY AND RISK CONSULTANTS (UK) LIMITED",26.5,"Professional, scientific and technical activities","Energy, Safety And Risk Consultants",
Enfield Learning Trust,1.3,Public Sector,Enfield Learning Trust,
Enfield Learning Trust,1.3,Education,Enfield Learning Trust,
ENGLAND AND WALES CRICKET BOARD LIMITED,17,"Arts, entertainment and recreation",England And Wales Cricket Board,
ENJOY EAST LOTHIAN LIMITED,9,"Arts, entertainment and recreation",Enjoy East Lothian,
ENTERPRISE SERVICES INFORMATION SECURITY UK LIMITED,21,Information and communication,Enterprise Services Information Security Uk,
ENTSERV UK LIMITED,23,Information and communication,Entserv Uk,
Environment Agency,2.5,Public Sector,Environment Agency,
Environment Agency,2.5,Public administration and defence; compulsory social security,Environment Agency,
EPAYROLL SERVICES LIMITED,6.6,Administrative and support service activities,Epayroll Services,
Epping Forest College,17.4,Public Sector,Epping Forest College,
Epping Forest College,17.4,Education,Epping Forest College,
Epsom College,10.4,Education,Epsom College,
Erewash Borough Council,0,Public Sector,Erewash Borough Council,
Erewash Borough Council,0,Public administration and defence; compulsory social security,Erewash Borough Council,
ERNST & YOUNG SERVICES LIMITED,14.8,Administrative and support service activities,Ernst & Young Services,
Erskine Hospital,0,Human health and social work activities,Erskine Hospital,
ES FIELD DELIVERY UK LTD,8,Information and communication,Es Field Delivery Uk,
ESHER MAIL ORDER LIMITED,0,"Professional, scientific and technical activities",Esher Mail Order,
ESSEX CARES LIMITED,0,Human health and social work activities,Essex Cares,
ESSILOR LIMITED,7.8,Manufacturing,Essilor,
ESSITY UK LIMITED,-6.6,Manufacturing,Essity Uk,
Esure Group PLC,10.4,"Professional, scientific and technical activities",Esure Group,
ESURE SERVICES LIMITED,10.4,Financial and insurance activities,Esure Services,
ESURE SERVICES LIMITED,10.4,Administrative and support service activities,Esure Services,
ETC VENUES LIMITED,-18.8,Real estate activities,Etc Venues,
Etc Venues Parent Holdings Ltd,-18.8,Administrative and support service activities,Etc Venues Parent Holdings,
EUROCAMP LIMITED,0.6,"Professional, scientific and technical activities",Eurocamp,
EUROPA ROAD LIMITED,1,Transportation and storage,Europa Road,
EUROPCAR GROUP UK LIMITED,-26.4,Administrative and support service activities,Europcar Group Uk,
EUROTHERM LIMITED,37.5,Manufacturing,Eurotherm,
EUROVIA INFRASTRUCTURE LIMITED,21.9,Construction,Eurovia Infrastructure,
Excalibur Academies Trust,31.9,Public Sector,Excalibur Academies Trust,
Excalibur Academies Trust,31.9,Education,Excalibur Academies Trust,
EXCHANGE HOUSE SERVICES LIMITED,38.8,"Professional, scientific and technical activities",Exchange House Services,
Exertis (UK) Ltd,23,Wholesale and retail trade; repair of motor vehicles and motorcycles,Exertis,
Exeter City Council,-6,Public Sector,Exeter City Council,
Exeter City Council,-6,Public administration and defence; compulsory social security,Exeter City Council,
EXPD8 LIMITED,0,"Professional, scientific and technical activities",Expd8,
Experian Limited,24.6,Information and communication,Experian,
F I L MARKET RESEARCH LIMITED,-12.6,"Professional, scientific and technical activities",F I L Market Research,
F M CONWAY LIMITED,17.7,Construction,F M Conway,
F.HINDS LIMITED,13.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,F.hinds,
F.M. INSURANCE COMPANY LIMITED,46.3,Financial and insurance activities,F.m. Insurance Company,
F.W. EVANS CYCLES (UK) LIMITED,-4.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,F.w. Evans Cycles,
F&C ASSET MANAGEMENT SERVICES LIMITED,34,Administrative and support service activities,F&c Asset Management Services,
Fairfax Multi Academy Trust,27.3,Public Sector,Fairfax Multi Academy Trust,
Fairfax Multi Academy Trust,27.3,Education,Fairfax Multi Academy Trust,
FALCON OF HULL & LINCOLNSHIRE LIMITED,28.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Falcon Of Hull & Lincolnshire,
Falcon Tower Crane Services Ltd,-1.8,Construction,Falcon Tower Crane Services,
Faringdon Academy Of Schools,40,Public Sector,Faringdon Academy Of Schools,
Faringdon Academy Of Schools,40,Education,Faringdon Academy Of Schools,
FARLINGAYE HIGH SCHOOL,38,Education,Farlingaye High School,
Father Hudsons Society,15.4,Human health and social work activities,Father Hudsons Society,
Father Hudsons Society,15.4,Other service activities,Father Hudsons Society,
FCC ENVIRONMENT (UK) LIMITED,-8.2,Administrative and support service activities,Fcc Environment,
FCC ENVIRONMENT SERVICES (UK) LIMITED,-1,Administrative and support service activities,Fcc Environment Services,
Fce Bank PLC,7.5,Financial and insurance activities,Fce Bank,
FDM GROUP LIMITED,0,Information and communication,Fdm Group,
FDM GROUP LIMITED,0,Administrative and support service activities,Fdm Group,
FEDERAL-MOGUL FRICTION PRODUCTS LIMITED,-1.7,Manufacturing,Federal-mogul Friction Products,
Ferraris Piston Service Limited,-3.5,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ferraris Piston Service,
FIL INVESTMENT MANAGEMENT LIMITED,25.4,"Professional, scientific and technical activities",Fil Investment Management,
FINANCIAL OMBUDSMAN SERVICE LIMITED,6,Other service activities,Financial Ombudsman Service,
FIRMDALE HOTELS PLC,4.8,Accommodation and food service activities,Firmdale Hotels,
First Community Health & Care C.I.C.,-1.4,Human health and social work activities,First Community Health & Care C.i.c.,
FIRST UTILITY LIMITED,10,"Electricity, gas, steam and air conditioning supply",First Utility,
FITTLEWORTH MEDICAL LIMITED,6.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Fittleworth Medical,
FITTLEWORTH MEDICAL LIMITED,6.1,Human health and social work activities,Fittleworth Medical,
Fitzroy Support,0.6,Human health and social work activities,Fitzroy Support,
FLAKT WOODS LIMITED,-2.7,Manufacturing,Flakt Woods,
FLOGAS BRITAIN LIMITED,-1.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Flogas Britain,
FLORETTE UK + IRELAND LIMITED,2.7,Manufacturing,Florette Uk + Ireland,
Food Standards Agency,-16.7,Public Sector,Food Standards Agency,
Food Standards Agency,-16.7,Public administration and defence; compulsory social security,Food Standards Agency,
FOOTBALL ASSOCIATION LIMITED,12.1,"Arts, entertainment and recreation",Football Association,
FORD & SLATER LIMITED,21.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ford & Slater,
FORD & SLATER LIMITED,21.1,Transportation and storage,Ford & Slater,
FORE STREET EMPLOYMENT AGENCY LIMITED,0,Administrative and support service activities,Fore Street Employment Agency,
Foreign & Commonwealth Office,11.1,Public Sector,Foreign & Commonwealth Office,
Forest Heath District Council,-11.5,Public Sector,Forest Heath District Council,
Forestry Commission,1.4,Public Sector,Forestry Commission,
FORMAPLEX LIMITED,28,Manufacturing,Formaplex,
FORMICA LIMITED,-23.1,Manufacturing,Formica,
FORMULA ONE AUTO CENTRES LIMITED,23.6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Formula One Auto Centres,
FORREST RECRUITMENT LIMITED,-3.2,Administrative and support service activities,Forrest Recruitment,
FORTEM SOLUTIONS LIMITED,7,Construction,Fortem Solutions,
FORTH PORTS LIMITED,-0.4,Transportation and storage,Forth Ports,
FORTICRETE LIMITED,16,Manufacturing,Forticrete,
FOSTER + PARTNERS GROUP LIMITED,10.5,Financial and insurance activities,Foster + Partners Group,
FRAMEWORK HOUSING ASSOCIATION,3.5,Real estate activities,Framework Housing Association,
FRAMEWORK HOUSING ASSOCIATION,3.5,Human health and social work activities,Framework Housing Association,
Francis Holland (Church Of England) Schools Trust(The),3.9,Public Sector,Francis Holland (church Of England) Schools Trust(the),
Francis Holland (Church Of England) Schools Trust(The),3.9,Education,Francis Holland (church Of England) Schools Trust(the),
FRANKLIN TEMPLETON GLOBAL INVESTORS LIMITED,20.4,Financial and insurance activities,Franklin Templeton Global Investors,
FREDERIC ROBINSON LIMITED,28.6,Manufacturing,Frederic Robinson,
FREIGHTROUTE LIMITED,11.9,Transportation and storage,Freightroute,
FRESHLINC LIMITED,-9.7,Transportation and storage,Freshlinc,
FRONTIER AGRICULTURE LIMITED,28.8,"Agriculture, Forestry and Fishing",Frontier Agriculture,
FRUTAROM (UK) LIMITED,-0.1,Manufacturing,Frutarom,
FUEL CARD SERVICES LIMITED,-1.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Fuel Card Services,
FUJITSU SERVICES LIMITED,17.9,Information and communication,Fujitsu Services,
FUJITSU SERVICES LIMITED,17.9,Other service activities,Fujitsu Services,
FURNICO FURNITURE LIMITED,19.3,"Professional, scientific and technical activities",Furnico Furniture,
FURROWS HOLDINGS LIMITED,20.7,Real estate activities,Furrows Holdings,
FURROWS LIMITED,20.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Furrows,
Future Directions Cic,-1,Human health and social work activities,Future Directions Cic,
Future Home Care Ltd.,-1.3,Human health and social work activities,Future Home Care,
Fylde Borough Council,-18.7,Public Sector,Fylde Borough Council,
Fylde Borough Council,-18.7,Public administration and defence; compulsory social security,Fylde Borough Council,
Fylde Coast Ymca,0,Other service activities,Fylde Coast Ymca,
GAINFORD HOTELS LIMITED,0,Accommodation and food service activities,Gainford Hotels,
GAINPEAK LIMITED,0,"Professional, scientific and technical activities",Gainpeak,
GALLIARD HOMES LIMITED,30.3,Construction,Galliard Homes,
GALLIFORD TRY EMPLOYMENT LIMITED,33.2,Administrative and support service activities,Galliford Try Employment,
Gambling Commission,7.4,Public Sector,Gambling Commission,
GARDNER DENVER GROUP SERVICES LIMITED,12.9,"Professional, scientific and technical activities",Gardner Denver Group Services,
GATES (U.K.) LIMITED,12.9,Manufacturing,Gates,
GATES (U.K.) LIMITED,12.9,"Professional, scientific and technical activities",Gates,
Gateway Learning Community,27.6,Public Sector,Gateway Learning Community,
Gateway Learning Community,27.6,Education,Gateway Learning Community,
GAZPROM MARKETING & TRADING LIMITED,27.6,"Electricity, gas, steam and air conditioning supply",Gazprom Marketing & Trading,
GAZPROM MARKETING & TRADING RETAIL LIMITED,9.4,"Electricity, gas, steam and air conditioning supply",Gazprom Marketing & Trading Retail,
GB Group PLC,34,Information and communication,Gb Group,
GE AIRCRAFT ENGINE SERVICES LIMITED,26.8,Manufacturing,Ge Aircraft Engine Services,
GE AVIATION SYSTEMS LIMITED,11,Manufacturing,Ge Aviation Systems,
GE AVIATION SYSTEMS LIMITED,11,Public administration and defence; compulsory social security,Ge Aviation Systems,
GE AVIATION SYSTEMS LIMITED,11,Other service activities,Ge Aviation Systems,
GE CALEDONIAN LIMITED,4.1,Transportation and storage,Ge Caledonian,
GE CAPITAL EUROPE LIMITED,48.2,Administrative and support service activities,Ge Capital Europe,
GE ENERGY POWER CONVERSION UK LIMITED,25.3,Manufacturing,Ge Energy Power Conversion Uk,
GE HEALTHCARE LIMITED,5.7,Manufacturing,Ge Healthcare,
GE HEALTHCARE UK LIMITED,23.5,Manufacturing,Ge Healthcare Uk,
GE MEDICAL SYSTEMS LIMITED,5.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Ge Medical Systems,
GE MEDICAL SYSTEMS LIMITED,5.7,Other service activities,Ge Medical Systems,
GE OIL & GAS UK LIMITED,14.2,Administrative and support service activities,Ge Oil & Gas Uk,
Gedling Borough Council,1.9,Public Sector,Gedling Borough Council,
Gedling Borough Council,1.9,Public administration and defence; compulsory social security,Gedling Borough Council,
GEFCO U.K. LIMITED,5.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Gefco U.k.,
GEFCO U.K. LIMITED,5.1,Transportation and storage,Gefco U.k.,
GEMPORIA LIMITED,14,Wholesale and retail trade; repair of motor vehicles and motorcycles,Gemporia,
GENERAL ELECTRIC ENERGY UK LIMITED,24.4,Manufacturing,General Electric Energy Uk,
GENERAL TRAFFIC LIMITED,1.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,General Traffic,
GENIUS FOODS LIMITED,2.3,Manufacturing,Genius Foods,
GENUS UK LIMITED,5.3,Wholesale and retail trade; repair of motor vehicles and motorcycles,Genus Uk,
GLASS SYSTEMS LIMITED,21.2,Manufacturing,Glass Systems,
GLASSWELLS LIMITED,19.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Glasswells,
"Glatfelter Lydney, Ltd.",-0.1,Manufacturing,"Glatfelter Lydney,",
GLAXOSMITHKLINE CONSUMER HEALTHCARE (UK) TRADING LIMITED,-17.1,Manufacturing,Glaxosmithkline Consumer Healthcare  Trading,
Glaxosmithkline Services Unlimited,1.6,"Professional, scientific and technical activities",Glaxosmithkline Services Unlimited,
GLENAIR UK LIMITED,31.4,Manufacturing,Glenair Uk,
GLENSIDE MANOR HEALTHCARE SERVICES LIMITED,0.9,Human health and social work activities,Glenside Manor Healthcare Services,
GLOUCESTER RUGBY LIMITED,4.4,"Arts, entertainment and recreation",Gloucester Rugby,
Gloucestershire Care Services Nhs Trust,-2.2,Public Sector,Gloucestershire Care Services Nhs Trust,
Gloucestershire Care Services Nhs Trust,-2.2,Human health and social work activities,Gloucestershire Care Services Nhs Trust,
Gloucestershire College,15.7,Public Sector,Gloucestershire College,
Gloucestershire Hospitals Nhs Foundation Trust,16.9,Public Sector,Gloucestershire Hospitals Nhs Foundation Trust,
Gloucestershire Hospitals Nhs Foundation Trust,16.9,Public administration and defence; compulsory social security,Gloucestershire Hospitals Nhs Foundation Trust,
Gloucestershire Hospitals Nhs Foundation Trust,16.9,Human health and social work activities,Gloucestershire Hospitals Nhs Foundation Trust,
Golden Gates Housing Trust,-6,Real estate activities,Golden Gates Housing Trust,
GOLDSMITHS' COLLEGE,7.5,Public Sector,Goldsmiths' College,
GOLIN/HARRIS INTERNATIONAL LIMITED,-4.6,"Professional, scientific and technical activities",Golin/harris International,
GOODWOOD ESTATE COMPANY LIMITED(THE),10,"Agriculture, Forestry and Fishing",Goodwood Estate Company (the),
GOODWOOD ESTATE COMPANY LIMITED(THE),10,"Professional, scientific and technical activities",Goodwood Estate Company (the),
GOODWOOD RACECOURSE LIMITED,-7,"Arts, entertainment and recreation",Goodwood Racecourse,
GOODWOOD ROAD RACING COMPANY LIMITED,9,"Arts, entertainment and recreation",Goodwood Road Racing Company,
GOONVEAN HOLDINGS LIMITED,6.1,"Professional, scientific and technical activities",Goonvean Holdings,
Government Legal Department,0.7,Public Sector,Government Legal Department,
Government Legal Department,0.7,Public administration and defence; compulsory social security,Government Legal Department,
GOWER GROUP LIMITED,0,Financial and insurance activities,Gower Group,
GRA LIMITED,0,"Arts, entertainment and recreation",Gra,
Grace Academy,-2.7,Public Sector,Grace Academy,
Grace Academy,-2.7,Education,Grace Academy,
Grant Thornton Business Services,18.3,Other service activities,Grant Thornton Business Services,
Gravesham Borough Council,-8.9,Public Sector,Gravesham Borough Council,
Gravesham Borough Council,-8.9,Public administration and defence; compulsory social security,Gravesham Borough Council,
GRAY & ADAMS HOLDINGS LIMITED,-3.6,Manufacturing,Gray & Adams Holdings,
GRAY & ADAMS LIMITED,-7.5,Manufacturing,Gray & Adams,
Great Yarmouth Borough Council,19,Public Sector,Great Yarmouth Borough Council,
Great Yarmouth Borough Council,19,Public administration and defence; compulsory social security,Great Yarmouth Borough Council,
Greater Brighton Metropolitan College,11.2,Public Sector,Greater Brighton Metropolitan College,
Greater London Authority,6.1,Public Sector,Greater London Authority,
Greater London Authority,6.1,Public administration and defence; compulsory social security,Greater London Authority,
GREENBANK SERVICES LIMITED,0.6,Other service activities,Greenbank Services,
GREENE KING RETAIL SERVICES LIMITED,0,Administrative and support service activities,Greene King Retail Services,
GREENE KING SERVICES LIMITED,10,Administrative and support service activities,Greene King Services,
Greenhead College,40.2,Public Sector,Greenhead College,
GREENHOUS GROUP (HOLDINGS) LIMITED,9.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Greenhous Group (holdings),
GREENHOUS GROUP LIMITED,8.8,Wholesale and retail trade; repair of motor vehicles and motorcycles,Greenhous Group,
Greensleeves Homes Trust,1.8,Human health and social work activities,Greensleeves Homes Trust,
GREENVALE AP LIMITED,13.6,"Agriculture, Forestry and Fishing",Greenvale Ap,
GREENVALE AP LIMITED,13.6,Manufacturing,Greenvale Ap,
Greenwood Academies Trust,37.8,Public Sector,Greenwood Academies Trust,
Greenwood Academies Trust,37.8,Education,Greenwood Academies Trust,
Greggs PLC,11.7,Manufacturing,Greggs,
Greggs PLC,11.7,Wholesale and retail trade; repair of motor vehicles and motorcycles,Greggs,
Grensue Ltd,-8.7,Accommodation and food service activities,Grensue,
GREVAN CARS LIMITED,1.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,Grevan Cars,
GREY ADVERTISING LIMITED,24.6,"Professional, scientific and technical activities",Grey Advertising,
Grimsby Institute,22.4,Public Sector,Grimsby Institute,
Grimsby Institute,22.4,Education,Grimsby Institute,
GROSVENOR ESTATE MANAGEMENT LIMITED,27.6,"Professional, scientific and technical activities",Grosvenor Estate Management,
GSL DARDAN LIMITED,-1.4,Administrative and support service activities,Gsl Dardan,
GSM AUTOMOTIVE HOLDINGS LIMITED,25.8,"Professional, scientific and technical activities",Gsm Automotive Holdings,
GUARDIAN NEWS & MEDIA LIMITED,12.1,Information and communication,Guardian News & Media,yes
GUEST MOTORS LIMITED,15.6,Wholesale and retail trade; repair of motor vehicles and motorcycles,Guest Motors,
GUILDFORD BOROUGH COUNCIL HOLDINGS LIMITED,-22,Public Sector,Guildford Borough Council Holdings,
GUILDFORD BOROUGH COUNCIL HOLDINGS LIMITED,-22,Financial and insurance activities,Guildford Borough Council Holdings,
H M Government Cabinet Office,12.3,Public Sector,H M Government Cabinet Office,
H YOUNG (OPERATIONS) LIMITED,13.1,Wholesale and retail trade; repair of motor vehicles and motorcycles,H Young (operations),
H+H UK LIMITED,10.4,Manufacturing,H+h Uk,
H+S AVIATION LIMITED,5.8,Transportation and storage,H+s Aviation,
Haberdashers' Aske's Federation Trust,31.6,Public Sector,Haberdashers' Aske's Federation Trust,
Haberdashers' Aske's Federation Trust,31.6,Education,Haberdashers' Aske's Federation Trust,
Hackney Community College,-2.6,Public Sector,Hackney Community College,
Hadlow College,11.4,Public Sector,Hadlow College,
HALES GROUP LIMITED,7.6,Administrative and support service activities,Hales Group,
HALL CLEANING SERVICES LIMITED,0,Other service activities,Hall Cleaning Services,
HALO LEISURE SERVICES LIMITED,-3,"Arts, entertainment and recreation",Halo Leisure Services,
Hambleton District Council,-12.3,Public Sector,Hambleton District Council,
Hambleton District Council,-12.3,Public administration and defence; compulsory social security,Hambleton District Council,
HAMMERSMITH MEDICINES RESEARCH LIMITED,3,"Professional, scientific and technical activities",Hammersmith Medicines Research,
Hanson Academy,45,Public Sector,Hanson Academy,
Hanson Academy,45,Education,Hanson Academy,
HARD ROCK CAFE (UK) LIMITED,3.2,Accommodation and food service activities,Hard Rock Cafe,
Hardenhuish School Ltd,56.1,Public Sector,Hardenhuish School,
Hardenhuish School Ltd,56.1,Education,Hardenhuish School,
Haringey Council,1.9,Public Sector,Haringey Council,
Haringey Council,1.9,Public administration and defence; compulsory social security,Haringey Council,
Harlow College,13.6,Public Sector,Harlow College,
Harrogate Borough Council,-4.1,Public Sector,Harrogate Borough Council,
HARRY FAIRBAIRN LIMITED,13.4,Wholesale and retail trade; repair of motor vehicles and motorcycles,Harry Fairbairn,
HARRY YEARSLEY LIMITED,12.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Harry Yearsley,
HARRY YEARSLEY LIMITED,12.2,Transportation and storage,Harry Yearsley,
Hartismere Family of Schools,45.6,Public Sector,Hartismere Family Of Schools,
Hartismere Family of Schools,45.6,Education,Hartismere Family Of Schools,
Hartlepool College of Further Education,40.4,Public Sector,Hartlepool College Of Further Education,
Hartlepool College of Further Education,40.4,Education,Hartlepool College Of Further Education,
Hastings Borough Council,9.3,Public Sector,Hastings Borough Council,
Hastings Borough Council,9.3,Public administration and defence; compulsory social security,Hastings Borough Council,
Havelock Europa PLC,10.1,Manufacturing,Havelock Europa,
HAVENS CHRISTIAN HOSPICE,-5.7,Human health and social work activities,Havens Christian Hospice,
HAYLEY GROUP LIMITED,11.2,Wholesale and retail trade; repair of motor vehicles and motorcycles,Hayley Group,
HAYMARKET MEDIA GROUP LTD.,4.3,Information and communication,Haymarket Media Group .,
HAZLEWOODS MANAGEMENT SERVICES LIMITED,10.6,"Professional, scientific and technical activities",Hazlewoods Management Services,
HBN RESTAURANTS LIMITED,12,Accommodation and food service activities,Hbn Restaurants,
Hbos PLC,26.4,"Professional, scientific and technical activities",Hbos,
HCL GREAT BRITAIN LIMITED,17.8,Information and communication,Hcl Great Britain,
HCL GREAT BRITAIN LIMITED,17.8,Other service activities,Hcl Great Britain,
HCL TECHNOLOGIES UK LIMITED,19.8,"Professional, scientific and technical activities",Hcl Technologies Uk,
Healing Multi Academy Trust,55.5,Public Sector,Healing Multi Academy Trust,
Healing Multi Academy Trust,55.5,Education,Healing Multi Academy Trust,
Health & Safety Executive,26,Public Sector,Health & Safety Executive,
Health & Safety Executive,26,Public administration and defence; compulsory social security,Health & Safety Executive,
HEALTHCARE ENVIRONMENTAL SERVICES LIMITED,0,Other service activities,Healthcare Environmental Services,
HEALTHCARE HOMES (LSC) LIMITED,6.6,Human health and social work activities,Healthcare Homes (lsc),
HEALTHCARE HOMES GROUP LIMITED,1.6,Human health and social work activities,Healthcare Homes Group,
Heart Of England NHS Foundation Trust,17.5,Public Sector,Heart Of England Nhs Foundation Trust,
